module/name	submodule/io	submodule/name	group/name	subgroup-1/name	subgroup-2/name	subgroup-3/name 	variable/name	cpp/class	cpp/function	cpp/parameter
Contain	output	Fire	Fire Size - at resource arrival time				Fire Perimeter - at resource arrival time	SIGContainAdapter	getPerimeterAtInitialAttack
Contain	output	Fire	Resources				Number of Resources Used	SIGContainAdapter	getResourcesUsed
Contain	output	Fire	Fire Size - at resource arrival time				Fire Area - at resource arrival time	SIGContainAdapter	getFireSizeAtInitialAttack
Contain	output	Fire	Containment				Contain Status	SIGContainAdapter	getContainmentStatus
Contain	output	Fire	Containment				Contained Area	SIGContainAdapter	getFinalContainmentArea
Contain	output	Fire	Containment				Time from Report	SIGContainAdapter	getFinalTimeSinceReport	timeUnits
Contain	output	Fire	Containment				Fireline Constructed	SIGContainAdapter	getFinalFireLineLength	lengthUnits
Contain	input	Fire	Fire Size at Report				Fire Size at Report	SIGContainAdapter	setReportSize	reportSize
Contain	input	Suppression	Line Construction Offset				Line Construction Offset	SIGContainAdapter	setAttackDistance	attackDistance
Contain	input	Suppression	Tactic				Tactic	SIGContainAdapter	setTactic	tactic
Contain	input	Suppression	Resources				Resource Duration	SIGContainAdapter	addResource	duration
Contain	input	Suppression	Resources				Resource Arrival Time	SIGContainAdapter	addResource	arrival
Contain	input	Suppression	Resources				Resource Name	SIGContainAdapter	addResource	description
Contain	input	Suppression	Resources				Resource Line Production Rate	SIGContainAdapter	addResource	productionRate
Contain	input	Fire	Surface Rate of Spread (maximum)				Surface Fire Rate of Spread (maximum)	SIGContainAdapter	setReportRate	reportRate
Contain	input	Fire	Length-to-Width Ratio				Length-to-Width Ratio	SIGContainAdapter	setLwRatio	lwRatio
Surface   	output 	Fire Behavior                       	Surface Fire                     	Backing                                	 Backing Fireline Intensity              	                       	Backing Fireline Intensity              	SIGSurface     	getBackingFirelineIntensity                               	                                      	
Surface   	output 	Fire Behavior                       	Surface Fire                     	Direction of Maximum Spread            	                                         	                       	Direction of Maximum Spread             	SIGSurface     	getDirectionOfMaxSpread                                   	                                      	
Surface   	output 	Fire Behavior                       	Surface Fire                     	Heat per Unit Area                     	                                         	                       	Heat per Unit Area                      	SIGSurface     	getHeatPerUnitArea                                        	                                      	
Surface   	output 	Fire Behavior                       	Surface Fire                     	Reaction Intensity                     	                                         	                       	Reaction Intensity                      	SIGSurface     	getReactionIntensity                                      	                                      	
Surface   	output 	Intermediates                       	Fuel Moisture                    	Characteristic Dead                    	                                         	                       	Characteristic Dead                     	SIGSurface     	getCharacteristicMoistureByLifeState                      	                                      	
Surface   	output 	Intermediates                       	Fuel Moisture                    	Characteristic Live                    	                                         	                       	Characteristic Live                     	SIGSurface     	getCharacteristicMoistureByLifeState                      	                                      	
Surface   	output 	Intermediates                       	Fuel Moisture                    	Live Fuel Moisture of Extinction       	                                         	                       	Live Fuel Moisture of Extinction        	SIGSurface     	getLiveFuelMoistureOfExtinction                           	                                      	
Surface   	output 	Intermediates                       	Fuel Characteristics             	Characteristic SA/V                    	                                         	                       	Characteristic SA/V                     	SIGSurface     	getCharacteristicSAVR                                     	                                      	
Surface   	output 	Intermediates                       	Fuel Characteristics             	Bulk Density                           	                                         	                       	Bulk Density                            	SIGSurface     	getBulkDensity                                            	                                      	
Surface   	output 	Intermediates                       	Fuel Characteristics             	Packing Ratio                          	                                         	                       	Packing Ratio                           	SIGSurface     	getPackingRatio                                           	                                      	
Surface   	output 	Intermediates                       	Fuel Characteristics             	Relative Packing Ratio                 	                                         	                       	Relative Packing Ratio                  	SIGSurface     	getRelativePackingRatio                                   	                                      	
Surface   	output 	Intermediates                       	Heat Source                      	Heat Source                            	                                         	                       	Heat Source                             	SIGSurface     	getHeatSource         	                                      	
Surface   	output 	Intermediates                       	Heat Source                      	Dead Fuel Reaction Intensity           	                                         	                       	Dead Fuel Reaction Intensity            	SIGSurface     	getSurfaceFireReactionIntensityForLifeState               	                                      	
Surface   	output 	Intermediates                       	Heat Source                      	Live Fuel Reaction Intensity           	                                         	                       	Live Fuel Reaction Intensity            	SIGSurface     	getSurfaceFireReactionIntensityForLifeState               	                                      	
Surface   	output 	Intermediates                       	Heat Source                      	Wind Factor                            	                                         	                       	Wind Factor                             	SIGSurface     	getWindAdjustmentFactor                                   	                                      	
Surface   	output 	Intermediates                       	Heat Source                      	Slope Factor                           	                                         	                       	Slope Factor                            	SIGSurface     	getSlopeFactor                                            	                                      	
Surface   	output 	Intermediates                       	Heat Sink                        	Heat Sink                              	                                         	                       	Heat Sink                               	SIGSurface     	getHeatSink                                               	                                      	
Surface   	output 	Intermediates                       	Heat Sink                        	Flame Residence Time                   	                                         	                       	Flame Residence Time                    	SIGSurface     	getResidenceTime                                          	                                      	
Surface   	output 	Size                                	Surface - Fire Size              	Fire Area                              	                                         	                       	Fire Area                               	SIGSurface     	getFireArea                                               	                                      	
Surface   	output 	Size                                	Surface - Fire Size              	Fire Perimeter                         	                                         	                       	Fire Perimeter                          	SIGSurface     	getFirePerimeter                                          	                                      	
Surface   	output 	Diagram                             	Fire Shape Diagram               	                                       	                                         	                       	Fire Shape Diagram                      	               	                                                          	                                      	
Surface   	output 	Special Case Fuel Models            	Western Aspen                    	Fuel Load                              	 Create output for fuel characteristics? 	                       	Create output for fuel characteristics? 	               	                                                          	                                      	
Surface   	output 	Special Case Fuel Models            	Western Aspen                    	Fuel Load                              	 1-h Fuel Load                           	                       	1-h Fuel Load                           	SIGSurface     	getAspenLoadDeadOneHour                                   	                                      	
